Record Number,Aspect Value,Aspect Name
1,Supreme,B-Modell
1,Nike,B-Marke
1,SB Dunk,B-Produktlinie
1,High,B-Schuhschaft-Typ
1,By any Means,B-Modell
1,Red,B-Farbe
1,US10,B-US-Schuhgröße
1,EU44,B-EU-Schuhgröße
1,Supreme,B-No Tag
1,Box,I-No Tag
1,Logo,B-Akzente
1,Air Force,B-Produktlinie
2,New Balance,B-Marke
2,530,B-Modell
2,Männer,B-Abteilung
2,und,B-No Tag
2,Frauen,B-Abteilung
2,Laufschuhe,B-Produktart
2,mit,B-No Tag
2,Buchstaben N,B-Muster
2,bequeme,B-No Tag
2,Laufschuhe,B-Produktart
3,♥,B-No Tag
3,MICHAEL KORS,B-Marke
3,Sneaker,B-Stil
3,Gr,B-No Tag
3,39,B-EU-Schuhgröße
3,♥,B-No Tag
4,New Balance,B-Marke
4,ML 574 EGO,B-Modell
4,Turnschuhe,B-Produktart
4,grün,B-Farbe
5,Nike,B-Marke
5,air jordan,B-Produktlinie
5,9 og,B-Modell
5,",",B-No Tag
5,space,B-Farbe
5,jam,B-Modell
5,",",B-No Tag
5,hare,B-Farbe
5,",",B-No Tag
5,bugs bunny,B-Farbe
5,",",B-No Tag
5,EU 45,B-EU-Schuhgröße
5,/,B-No Tag
5,US 11,B-US-Schuhgröße
5,NEU,B-No Tag
5,+,I-No Tag
5,RECHNUNG,I-No Tag
6,NEU,B-No Tag
6,SKECHERS,B-Marke
6,Damen,B-Abteilung
6,Sneakers,B-Stil
6,Turnschuhe,B-Produktart
6,Memory Foam,B-Zwischensohlen-Typ
6,MODA,B-Modell
6,-,B-No Tag
6,LAZY SUNDAYS,B-Modell
6,Blau,B-Farbe
7,New Balance,B-Marke
7,550,B-Modell
7,White Green,B-Farbe
8,CAT CATERPILLAR,B-Marke
8,Arise,B-Modell
8,Sneaker,B-Stil
8,Freizeitschuhe Turnschuhe Schuhe,B-Produktart
8,Herren,B-Abteilung
8,Neuheit,B-No Tag
9,Adidas,B-Marke
9,NMD,B-Produktlinie
9,R1 STLT,B-Modell
9,PK,B-Produktlinie
9,Primeknit,B-Obermaterial
9,Sneaker,B-Stil
9,Turnschuhe,B-Produktart
9,CQ2388,B-Herstellernummer
9,blau,B-Farbe
9,Gr,B-No Tag
9,.,I-No Tag
9,36,B-EU-Schuhgröße
9,-,B-No Tag
9,42,B-EU-Schuhgröße
9,NEU,B-No Tag
10,Damen,B-Abteilung
10,Sneaker,B-Stil
10,Mesh,B-Gewebeart
10,Sportschuhe Laufschuhe,B-Produktart
10,Slip On,B-Verschluss
10,Turnschuhe,B-Produktart
10,Flache,B-No Tag
10,Sockenschuhe,B-Produktart
11,Art 505,B-Modell
11,Schuhe,B-Produktart
11,Sneaker,B-Stil
11,Sportschuhe,B-Produktart
11,Herren,B-Abteilung
12,C2886,B-Herstellernummer
12,sneaker,B-Stil
12,uomo,B-Abteilung
12,LANVIN VEGO,B-Modell
12,scarpa,B-Produktart
12,nero,B-Farbe
12,multi,B-No Tag
12,stripes,B-Muster
12,shoe,B-Produktart
12,man,B-Abteilung
13,New Balance,B-Marke
13,574,B-Modell
13,Herren-Sneaker,B-Produktart
13,Low,B-Schuhschaft-Typ
13,Leder,B-Obermaterial
13,Retro-Schuhe,B-Produktart
13,2022,B-Erscheinungsjahr
13,ML574TD2,B-Herstellernummer
13,Weiß,B-Farbe
13,/,B-No Tag
13,Grün,B-Farbe
14,Ecco,B-Marke
14,ST. 1 Lite,B-Modell
14,Herren,B-Abteilung
14,Halbschuhe,B-Produktart
14,Schnürer,B-Verschluss
14,Sneaker,B-Stil
14,Leder,B-Obermaterial
14,504194-51220,B-Herstellernummer
14,Gr,B-No Tag
14,.,I-No Tag
14,44,B-EU-Schuhgröße
15,SCHUHE HALBSCHUH,B-Produktart
15,SNEAKER,B-Stil
15,HI-TEC,B-Marke
15,LEDER,B-Obermaterial
15,Gr,B-No Tag
15,.,I-No Tag
15,43,B-EU-Schuhgröße
15,SCHWARZ,B-Farbe
15,GUT,B-No Tag
16,WODEN,B-Marke
16,Sneaker,B-Stil
16,NORA II,B-Modell
16,PLATEAU,B-No Tag
16,Schwarz,B-Farbe
16,WL1750-020,B-Herstellernummer
16,Echtleder Textil,B-Obermaterial
16,Damen,B-Abteilung
17,Puma,B-Marke
17,Carina L,B-Modell
17,Damen,B-Abteilung
17,Schuhe,B-Produktart
17,Sneaker,B-Stil
17,Turnschuhe,B-Produktart
17,370325,B-Herstellernummer
17,(,B-No Tag
17,Schwarz,B-Farbe
17,01,B-No Tag
17,),I-No Tag
18,adidas,B-Marke
18,Originals,B-Produktlinie
18,CAFLAIRE,B-Modell
18,Herren,B-Abteilung
18,Sneaker,B-Stil
18,Weiß,B-Farbe
18,EE7599,B-Herstellernummer
18,Freizeit,B-Anlass
18,Sport Schuhe,B-Produktart
18,NEU,B-No Tag
19,Gay,B-Produktlinie
19,Used,B-No Tag
19,Kroko,B-Muster
19,Sneaker,B-Stil
19,sexy,B-No Tag
19,Hot,I-No Tag
19,42,B-EU-Schuhgröße
20,Nike,B-Marke
20,Jordan,B-Produktlinie
20,1,B-Modell
20,Low,B-Schuhschaft-Typ
20,(,B-No Tag
20,W,B-Abteilung
20,),B-No Tag
20,Marina Blue,B-Farbe
20,|,B-No Tag
20,Größe,I-No Tag
20,"40,5",B-EU-Schuhgröße
20,-,B-No Tag
20,44,B-EU-Schuhgröße
20,|,B-No Tag
20,NEU,I-No Tag
20,|,I-No Tag
20,DC0774-114,B-Herstellernummer
20,|,B-No Tag
20,Sneaker,B-Stil
21,NIKE,B-Marke
21,FREE,B-Produktlinie
21,RUN 2,B-Modell
21,36.5-38 .5,B-EU-Schuhgröße
21,NEU,B-No Tag
21,99,I-No Tag
21,€,I-No Tag
21,5.0,I-No Tag
21,4.0,I-No Tag
21,3.0,I-No Tag
21,rosherun rosheone,B-Produktlinie
21,flex,I-Produktlinie
21,lite kaishi,B-Modell
22,Damen,B-Abteilung
22,Sportschuhe Laufschuhe,B-Produktart
22,Sneaker,B-Stil
22,Stoffschuhe,B-Produktart
22,Strick,B-Gewebeart
22,Schnürer,B-Verschluss
22,Fitness,B-Aktivität
22,60860,B-No Tag
23,Neu,B-No Tag
23,IN,I-No Tag
23,Box,I-No Tag
23,Neu,I-No Tag
23,Herren,B-Abteilung
23,ASICS,B-Marke
23,Gel-Quantum,B-Produktlinie
23,360 CM,B-Modell
23,Schuhe,B-Produktart
23,1021A134 .022,B-Herstellernummer
24,Herren,B-Abteilung
24,Damenschuhe,I-Abteilung
24,Laufschuhe,B-Produktart
24,Atmungsaktiv,B-Besonderheiten
24,Mesh,B-Gewebeart
24,Running,B-Aktivität
24,Shoes,B-Produktart
24,Sneaker,B-Stil
24,Gr.35-45,B-EU-Schuhgröße
25,Nike,B-Marke
25,Air Jordan,B-Produktlinie
25,5,B-No Tag
25,/,I-No Tag
25,V,B-Modell
25,3Lab5,B-Produktlinie
25,45,B-EU-Schuhgröße
25,/,B-No Tag
25,Black-Metallic Silver,B-Farbe
26,KEEN,B-Marke
26,Schnürschuh,B-Produktart
26,Ridge,B-Modell
26,Flex,B-Produktlinie
26,Mid,B-Schuhschaft-Typ
26,WP,B-Besonderheiten
26,1024916,B-Herstellernummer
26,magnet,B-Farbe
26,/,B-No Tag
26,black,B-Farbe
26,(,B-No Tag
26,grau,B-Farbe
26,),B-No Tag
26,NEU,I-No Tag
27,NEU,B-No Tag
27,Puma,B-Marke
27,Ignite,B-Produktlinie
27,Avid EvoKnit,B-Modell
27,Größe,B-No Tag
27,42,B-EU-Schuhgröße
27,Herren,B-Abteilung
27,Schuhe,B-Produktart
27,Sneaker,B-Stil
27,365392-01,B-Herstellernummer
27,SCHWARZ,B-Farbe
28,Puma,B-Marke
28,Speedcat RDL FS,B-Modell
28,Weiß white,B-Farbe
28,375938-01,B-Herstellernummer
28,Herren,B-Abteilung
28,Schuhe,B-Produktart
28,Men,B-Abteilung
28,Running,B-Aktivität
28,Sneaker,B-Stil
28,shoe,B-Produktart
29,NEU,B-No Tag
29,SKECHERS,B-Marke
29,Damen,B-Abteilung
29,Sneakers,B-Stil
29,Freizeitschuhe,B-Produktart
29,ULTRA FLEX,B-Produktlinie
29,2.0,B-Modell
29,-,B-No Tag
29,LASER FOCUS Blau,B-Farbe
30,jenny by ara,B-Marke
30,Glendale,B-Modell
31,Puma,B-Marke
31,Mantra FUSEFIT,B-Modell
31,Herren,B-Abteilung
31,Outdoor,B-Anlass
31,Fitnessschuhe,B-Produktart
31,Sneaker,B-Stil
31,191427 03,B-Herstellernummer
32,Original,B-No Tag
32,Gucci,B-Marke
32,Sneaker,B-Stil
32,Gr,B-No Tag
32,".37,5",B-EU-Schuhgröße
32,/,B-No Tag
32,38,B-EU-Schuhgröße
33,Nike,B-Marke
33,Epic,B-Produktlinie
33,React,B-Modell
33,Flyknit,B-Produktlinie
33,2,B-Modell
33,Gr,B-No Tag
33,.44,B-EU-Schuhgröße
33,M,B-Abteilung
33,Sneaker,B-Stil
33,schwarz,B-Farbe
33,BQ8928 001,B-Herstellernummer
33,Running,B-Aktivität
33,Schuhe,B-Produktart
33,Unis,B-No Tag
34,Reebok,B-Marke
34,Classic Royal,B-Produktlinie
34,Glide LX,B-Modell
34,Gr,B-No Tag
34,.,I-No Tag
34,43,B-EU-Schuhgröße
34,/,B-No Tag
34,US 10,B-US-Schuhgröße
34,/,B-No Tag
34,28 cm,B-Maßeinheit
34,-,B-No Tag
34,Artikel,I-No Tag
34,#,I-No Tag
34,BS7991,B-Herstellernummer
34,black,B-Farbe
35,!,B-No Tag
35,Supergeiler,I-No Tag
35,Adidas,B-Marke
35,Originals Superstar,B-Produktlinie
35,II,B-Modell
35,Sneaker,B-Stil
35,Gr,B-No Tag
35,41,B-EU-Schuhgröße
35,Herren,B-Abteilung
35,Freizeit Schuhe,B-Produktart
35,!,B-No Tag
36,Puma,B-Marke
36,Retro,B-Thema
36,Sneaker,B-Stil
36,Echtleder v2,B-Obermaterial
36,black,B-Farbe
36,-,B-No Tag
36,puma,B-Marke
36,black,B-Farbe
37,PUMA,B-Marke
37,Ferrari,B-Produktlinie
37,Future Cat Ultra,B-Modell
37,(,B-No Tag
37,306241-01,B-Herstellernummer
37,),B-No Tag
37,Rot,B-Farbe
37,Mens,B-Abteilung
37,Sneaker,B-Stil
