global_step,train_loss,eval_loss,precision,recall,f1_score
269,1.6230838298797607,1.121290796098456,0.7172802305777545,0.7311698717948718,0.7241584551286292
538,0.20877838134765625,0.6259997088824754,0.8449120021172423,0.8526976495726496,0.8487869724160851
807,0.48635801672935486,0.4961193223376717,0.8799682034976153,0.8870192307692307,0.8834796488427774
1000,0.25850823521614075,0.5014663430969272,0.8829913964262078,0.890892094017094,0.886924150767799
1076,0.37671905755996704,0.4877296390786635,0.8844928305894849,0.8896901709401709,0.8870838881491345
1345,0.33278143405914307,0.4968278326951297,0.893479408658923,0.9039797008547008,0.8986988847583642
1614,0.012895919382572174,0.5199629120627599,0.898742554599603,0.906784188034188,0.9027454630060494
1883,0.11387217044830322,0.5284074771555916,0.8992720052945069,0.9073183760683761,0.9032772718207803
2000,0.09758195281028748,0.5843316200972263,0.8993510793272415,0.9069177350427351,0.9031185584147883
2152,0.01715494506061077,0.5802474434578181,0.8981322029407869,0.905448717948718,0.9017756201369954
2421,0.15428896248340607,0.6080258252527729,0.9001324503311259,0.9075854700854701,0.903843596222902
2690,0.03634553775191307,0.6304094972402121,0.903046357615894,0.9105235042735043,0.906769517223035
